i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
55,5,1.0,1.153939393939394,0.09523809523809523,15.7,4.866425516108357,1.0,0.0,0.0
56,5,1.0,1.6112121212121213,0.0761904761904762,7.579999999999998,2.0567297342286657,1.0,0.0,0.0
57,5,0.8,1.293939393939394,0.047619047619047616,18.98,5.341886933515845,0.8,0.0,0.0
58,5,0.8,1.5233333333333334,0.0761904761904762,22.119999999999997,4.709277310606939,1.0,0.0,0.0
59,5,0.8,2.542121212121212,0.0761904761904762,21.259999999999998,3.7565760347284747,1.0,0.0,0.0
60,5,0.6,1.2466666666666666,0.0761904761904762,19.2,4.730225891405722,1.0,0.0,0.0
61,5,0.8,1.15,0.06666666666666667,16.139999999999997,3.765388433777222,0.8,0.0,0.0
62,5,0.8,1.5733333333333333,0.05714285714285714,23.800000000000004,4.485347620180185,1.0,0.0,0.0
63,5,1.0,0.8351515151515152,0.06666666666666667,4.620000000000002,3.31830371935144,1.0,0.0,0.0
64,5,1.0,1.2145454545454544,0.06666666666666667,14.600000000000003,3.722684390175449,1.0,0.0,0.0
65,5,1.0,1.736969696969697,0.08571428571428572,12.080000000000002,2.991224838774501,1.0,0.0,0.0
66,5,0.8,1.6821212121212121,0.08571428571428572,24.96,5.381687306212612,1.0,0.0,0.0
67,5,0.8,1.1312121212121211,0.06666666666666667,15.059999999999999,3.5062903957083216,1.0,0.0,0.0
68,5,1.0,1.1790909090909092,0.06666666666666667,5.1400000000000015,4.040886365320302,1.0,0.0,0.0
69,5,0.4,0.9754545454545454,0.06666666666666667,14.02,2.57304329080107,1.0,0.0,0.0
70,5,0.6,0.7772727272727272,0.05714285714285714,1.4000000000000008,3.7774735092168026,1.0,0.0,0.0
71,5,1.0,1.1806060606060607,0.06666666666666667,3.7400000000000007,2.630664049622313,1.0,0.0,0.0
72,5,1.0,2.0733333333333333,0.0761904761904762,40.279999999999994,5.074823136347098,1.0,0.0,0.0
73,5,1.0,1.0463636363636364,0.0761904761904762,19.580000000000005,4.2002170289628395,1.0,0.0,0.0
74,5,1.0,2.415151515151515,0.05714285714285714,25.18,5.489008143856577,1.0,0.0,0.0
75,5,0.8,1.2563636363636363,0.05714285714285714,13.86,4.583031386218292,0.8,0.0,0.0
76,5,0.6,1.4224242424242424,0.06666666666666667,14.780000000000001,2.960048821548411,1.0,0.0,0.0
77,5,1.0,1.3466666666666667,0.06666666666666667,16.54,4.120710233637659,1.0,0.0,0.0
78,5,0.8,1.4584848484848485,0.08571428571428572,11.139999999999999,3.251151040676485,1.0,0.0,0.0
79,5,1.0,1.5127272727272727,0.08571428571428572,13.36,3.9013253955279086,1.0,0.0,0.0
80,5,0.8,1.3284848484848486,0.05714285714285714,4.0,3.770221021576508,1.0,0.0,0.0
81,5,1.0,1.5384848484848486,0.08571428571428572,26.26,6.049405136283099,1.0,0.0,0.0
82,5,1.0,1.160909090909091,0.08571428571428572,16.68,3.434376074389735,1.0,0.0,0.0
83,5,0.8,1.4775757575757575,0.08571428571428572,15.179999999999998,3.265097428375522,1.0,0.0,0.0
84,5,0.8,0.9712121212121211,0.0761904761904762,11.219999999999999,3.7766337852024363,1.0,0.0,0.0
85,5,0.8,0.9406060606060607,0.0761904761904762,7.32,3.1939586182001385,1.0,0.0,0.0
86,5,0.8,1.1315151515151516,0.0761904761904762,16.380000000000003,3.734112865141699,1.0,0.0,0.0
87,5,1.0,1.313939393939394,0.0761904761904762,1.9800000000000004,3.413915949372073,1.0,0.0,0.0
88,5,1.0,1.0899999999999999,0.0761904761904762,3.28,2.4503713907434124,1.0,0.0,0.0
89,5,1.0,1.5066666666666666,0.08571428571428572,8.379999999999999,4.1814715823738355,1.0,0.0,0.0
90,5,1.0,0.736969696969697,0.05714285714285714,3.22,3.592430240640353,1.0,0.0,0.0
91,5,1.0,1.4915151515151515,0.09523809523809523,9.34,4.18622186000728,1.0,0.0,0.0
92,5,0.6,1.3248484848484847,0.08571428571428572,10.72,5.050022135670293,1.0,0.0,0.0
93,5,0.8,2.371212121212121,0.06666666666666667,35.64,5.283927310679546,1.0,0.0,0.0
94,5,1.0,1.1066666666666667,0.0761904761904762,2.979999999999999,3.6626185903726043,1.0,0.0,0.0
95,5,0.6,0.905151515151515,0.06666666666666667,16.18,3.5538921594427575,1.0,0.0,0.0
96,5,1.0,1.4957575757575756,0.08571428571428572,21.660000000000004,5.500052737062977,1.0,0.0,0.0
